/Users/lijunsun/anaconda3/envs/myenv37/bin/python /Users/lijunsun/Workspace/multiple_preys_pursuit_pomg/test_sop_statistical_results.py
Command: python run_sop.py  --x_size=40 --y_size=40 --n_pursuers=256 --n_targets=64 --n_episodes=100
Seed  75 	 Episode  75 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 800.213
Seed  76 	 Episode  76 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 840.097
Seed  77 	 Episode  77 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 804.201
Seed  78 	 Episode  78 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 790.963
Seed  79 	 Episode  79 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 802.617
Seed  80 	 Episode  80 	 EpLen 84 	 CaptureRate 1.000 	 Collisions 0 Time 158.372
Seed  81 	 Episode  81 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 777.379
Seed  82 	 Episode  82 	 EpLen 417 	 CaptureRate 1.000 	 Collisions 0 Time 658.581
Seed  83 	 Episode  83 	 EpLen 35 	 CaptureRate 1.000 	 Collisions 0 Time 77.670
Seed  84 	 Episode  84 	 EpLen 194 	 CaptureRate 1.000 	 Collisions 0 Time 319.229
Seed  85 	 Episode  85 	 EpLen 421 	 CaptureRate 1.000 	 Collisions 0 Time 689.176
Seed  86 	 Episode  86 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 804.975
Seed  87 	 Episode  87 	 EpLen 26 	 CaptureRate 1.000 	 Collisions 0 Time 64.819
Seed  88 	 Episode  88 	 EpLen 132 	 CaptureRate 1.000 	 Collisions 0 Time 227.259
Seed  89 	 Episode  89 	 EpLen 144 	 CaptureRate 1.000 	 Collisions 0 Time 238.823
Seed  90 	 Episode  90 	 EpLen 43 	 CaptureRate 1.000 	 Collisions 0 Time 88.769
Seed  91 	 Episode  91 	 EpLen 22 	 CaptureRate 1.000 	 Collisions 0 Time 54.934
Seed  92 	 Episode  92 	 EpLen 26 	 CaptureRate 1.000 	 Collisions 0 Time 63.550
Seed  93 	 Episode  93 	 EpLen 366 	 CaptureRate 1.000 	 Collisions 0 Time 574.251
Seed  94 	 Episode  94 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 816.239
Seed  95 	 Episode  95 	 EpLen 24 	 CaptureRate 1.000 	 Collisions 0 Time 57.360
Seed  96 	 Episode  96 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 810.822
Seed  97 	 Episode  97 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 773.105
Seed  98 	 Episode  98 	 EpLen 44 	 CaptureRate 1.000 	 Collisions 0 Time 94.146
Seed  99 	 Episode  99 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 816.916
Write to file: data/sop_40_40_512_128_.txt
Write to file: data/sop_40_40_512_128_statistical_result.txt
Command: python run_sop.py  --x_size=40 --y_size=40 --n_pursuers=1024 --n_targets=256 --n_episodes=100
Seed   0 	 Episode   0 	 EpLen 500 	 CaptureRate 0.996 	 Collisions 0 Time 3520.359
Seed   1 	 Episode   1 	 EpLen 500 	 CaptureRate 0.996 	 Collisions 0 Time 3599.764
Seed   2 	 Episode   2 	 EpLen 500 	 CaptureRate 0.996 	 Collisions 0 Time 3532.171
