Epoch	MAEnvIterations	TotalEnvInteracts	EpLen	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageCaptureRate	StdCaptureRate	MaxCaptureRate	MinCaptureRate	AverageCollisions	StdCollisions	MaxCollisions	MinCollisions	AverageCollideObstacles	StdCollideObstacles	MaxCollideObstacles	MinCollideObstacles	AverageVVals	StdVVals	MaxVVals	MinVVals	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	Processes	Agents
70	35500	284000	500.0	-10.991668	9.334543	2.55	-22.95	0.38333333	0.057057478	0.44	0.32	3.3333333	2.2110832	6.0	0.0	3.6666667	0.4714045	4.0	3.0	-8.914229	20.197493	82.13646	-362.72488	-0.0049214065	351.28207	0.0	-259.68903	1.5845175	9.064876e-10	715.7852501869202	6	8
71	36000	288000	500.0	-9.116668	12.976475	15.8	-27.45	0.5333333	0.12364823	0.7	0.38	5.8333335	2.8528738	10.0	1.0	1.5	1.118034	3.0	0.0	-2.3952472	10.023137	93.81464	-138.8759	-0.0015105059	191.7564	0.0	-79.95879	1.5933328	-7.574758e-10	725.4394125938416	6	8
72	36500	292000	500.0	-19.366667	17.854544	8.8	-40.2	0.46666667	0.0869227	0.58	0.32	8.0	6.191392	18.0	0.0	2.3333333	0.94280905	4.0	1.0	-3.3889837	11.035939	78.42179	-143.16382	-0.0019526755	194.6173	0.0	-87.40664	1.5922737	-4.3561057e-09	735.388756275177	6	8
73	37000	296000	500.0	-14.575001	12.501458	2.05	-29.95	0.46666667	0.05120764	0.56	0.4	6.3333335	3.3499587	10.0	1.0	2.8333333	0.89752746	4.0	2.0	-4.614303	11.393248	64.0925	-112.749146	-0.002533704	121.78249	0.0	-48.75812	1.5925981	-6.6012142e-09	745.2705204486847	6	8
74	37500	300000	500.0	-11.658334	12.45025	1.55	-33.45	0.43666664	0.08517955	0.54	0.28	4.6666665	3.72678	12.0	1.0	2.6666667	1.3743685	4.0	1.0	-2.2651546	8.383248	48.68728	-103.13344	0.0014822483	106.62066	0.0	-44.341766	1.5913486	-7.688999e-09	755.1829690933228	6	8
75	38000	304000	500.0	-13.533334	13.886195	7.55	-34.7	0.49	0.05385165	0.58	0.42	6.3333335	3.771236	12.0	0.0	1.3333334	0.4714045	2.0	1.0	-3.3054905	8.627038	43.316948	-109.6836	0.0008322696	118.470055	0.0	-43.20931	1.595569	-2.2451085e-09	765.0349051952362	6	8
76	38500	308000	500.0	-15.450001	12.01995	-2.95	-33.95	0.48000002	0.07916228	0.64	0.38	6.8333335	3.8908725	13.0	2.0	2.1666667	1.771691	6.0	1.0	-2.6087239	7.803475	64.795685	-86.92526	0.0007510148	104.7477	0.0	-42.034954	1.5902457	-2.1085143e-09	774.8688304424286	6	8
77	39000	312000	500.0	-15.741668	9.339005	-5.7	-35.45	0.4433333	0.09961035	0.54	0.26	6.1666665	3.1313822	11.0	1.0	2.3333333	1.5986105	5.0	1.0	-0.9013159	13.397214	71.72874	-172.41269	-0.0014314713	210.02441	0.0	-131.01839	1.5916921	-3.889203e-09	784.5717930793762	6	8
78	39500	316000	500.0	-11.408334	9.545305	-2.45	-27.2	0.49666667	0.077817455	0.6	0.36	5.8333335	3.7601714	12.0	0.0	2.3333333	1.8856181	5.0	0.0	-3.5358496	7.1077256	43.171284	-73.8414	-0.0010269793	92.08494	0.0	-31.624044	1.5879164	-1.0306637e-09	794.3987112045288	6	8
79	40000	320000	500.0	-19.158333	24.760273	4.55	-65.7	0.51666665	0.06472162	0.64	0.42	8.833333	8.72576	24.0	1.0	2.8333333	1.6749793	5.0	1.0	-3.6413183	8.317603	42.013626	-133.84158	-0.00041385987	142.92458	0.0	-48.182922	1.5920463	-1.8874804e-09	804.4396495819092	6	8
