Episode	EpLen	EpRet	CaptureRate	Collisions	CollisionsWithObstacles	QLoss	PLoss	HaveLoss	Time(s)
313	500	-38.249999999999645	0.22	0	8	nan	nan	False	4.76
314	500	-513.7499999999987	0.34	1	8	nan	nan	False	4.424
315	500	-21.250000000000192	0.06	0	8	nan	nan	False	4.574
316	500	-20.500000000000107	0.12	0	8	nan	nan	False	4.403
317	500	-29.49999999999978	0.36	0	5	nan	nan	False	4.202
318	500	-8.50000000000016	0.36	0	6	nan	nan	False	4.254
319	500	-36.74999999999981	0.34	0	5	nan	nan	False	4.338
320	500	-5.00000000000017	0.32	0	7	nan	nan	False	4.349
321	500	-5.500000000000133	0.36	0	7	nan	nan	False	4.361
322	500	-5.5000000000000115	0.36	0	8	nan	nan	False	4.416
323	500	-1.199040866595169e-13	0.4	0	4	nan	nan	False	4.206
324	500	-10.75000000000001	0.42	0	5	nan	nan	False	4.155
325	500	-6.750000000000034	0.34	0	7	nan	nan	False	4.38
326	500	-7.50000000000019	0.28	0	7	nan	nan	False	4.62
327	500	-17.25000000000015	0.22	0	8	nan	nan	False	4.537
328	500	-13.750000000000153	0.18	0	7	nan	nan	False	4.749
329	500	-3.750000000000207	0.34	0	6	nan	nan	False	4.391
330	500	-11.250000000000208	0.22	0	8	nan	nan	False	4.209
331	500	-13.750000000000046	0.18	0	8	nan	nan	False	4.568
332	500	-17.25	0.22	0	7	nan	nan	False	4.537
333	500	-13.750000000000206	0.18	0	7	nan	nan	False	4.495
334	500	-47.749999999999744	0.26	0	5	nan	nan	False	4.577
335	500	-772.2500000000024	0.14	1	7	nan	nan	False	4.856
336	500	-8.750000000000188	0.26	0	6	nan	nan	False	4.663
337	500	-11.25000000000016	0.22	0	8	nan	nan	False	4.37
338	500	-13.750000000000153	0.18	0	8	nan	nan	False	4.256
339	500	-27.500000000000114	0.2	0	7	nan	nan	False	4.443
340	500	-21.99999999999977	0.24	0	6	nan	nan	False	4.787
341	500	-19.000000000000114	0.24	0	4	nan	nan	False	4.605
342	500	-15.249999999999973	0.3	0	7	nan	nan	False	4.283
343	500	-8.750000000000108	0.26	0	7	nan	nan	False	4.488
344	500	-625.5	0.28	1	7	nan	nan	False	4.263
345	500	-8.750000000000076	0.26	0	8	nan	nan	False	4.374
346	500	10.750000000000036	0.62	0	7	nan	nan	False	3.757
347	500	-18.750000000000128	0.1	0	8	nan	nan	False	4.351
348	500	-27.49999999999965	0.44	0	8	nan	nan	False	4.16
349	500	-9.750000000000167	0.34	0	5	nan	nan	False	4.232
350	500	-16.99999999999988	0.32	0	5	nan	nan	False	4.434
351	500	-13.000000000000052	0.24	0	7	nan	nan	False	4.505
352	500	-1592.500000000005	0.36	1	8	nan	nan	False	4.354
353	500	-23.999999999999904	0.16	0	8	nan	nan	False	4.395
354	500	-26.000000000000092	0.32	0	6	nan	nan	False	4.305
355	500	-22.75000000000001	0.18	0	5	nan	nan	False	4.772
356	500	-16.50000000000002	0.28	0	5	nan	nan	False	4.458
357	500	-6.750000000000164	0.34	0	6	nan	nan	False	4.49
358	500	-8.00000000000017	0.32	0	7	nan	nan	False	4.393
359	500	-37.249999999999666	0.14	0	6	nan	nan	False	4.731
360	500	-15.99999999999999	0.24	0	7	nan	nan	False	4.393
361	500	-1112.0000000000073	0.32	2	5	nan	nan	False	4.419
362	500	-1.2500000000001186	0.38	0	6	nan	nan	False	4.525
363	500	-17.25000000000011	0.22	0	6	nan	nan	False	4.287
364	500	1.250000000000015	0.42	0	7	nan	nan	False	4.242
365	500	-20.249999999999908	0.46	0	5	nan	nan	False	3.928
366	500	-18.25000000000016	0.3	0	7	nan	nan	False	4.59
367	500	-15.250000000000034	0.3	0	7	nan	nan	False	4.589
368	500	-2.5000000000001634	0.36	0	6	nan	nan	False	4.305
369	500	-29.24999999999968	0.22	0	5	nan	nan	False	4.672
370	500	-4.750000000000045	0.42	0	5	nan	nan	False	3.925
371	500	-905.7500000000047	0.26	1	8	nan	nan	False	4.41
372	500	-1129.2500000000077	0.14	1	6	nan	nan	False	4.799
373	500	-6.7500000000001465	0.34	0	5	nan	nan	False	4.509
374	500	-21.00000000000015	0.16	0	8	nan	nan	False	4.357
375	500	-27.999999999999897	0.24	0	6	nan	nan	False	4.686
376	500	-775.5000000000026	0.28	1	7	nan	nan	False	4.403
377	500	-10.750000000000146	0.42	0	5	nan	nan	False	4.11
378	500	-5.500000000000181	0.36	0	8	nan	nan	False	4.259
